Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
service,,product,line,reason,,state,guy,,door
hour,research,question,result,case,office,word,,health,air
week,point,,,rate,woman,,,rate,problem
government,life,event,team,law,school,food,,home,group
view,table,,,,,face,,,rate
door,face,kind,eye,government,event,,woman,girl,hand
city,love,music,company,money,information,information,week,student,end
book,,moment,result,,guy,eye,,team,time
world,study,city,,study,air,child,side,system,
week,,hand,area,result,eye,office,,idea,table
,money,business,product,home,,world,money,number,time
level,idea,end,area,work,result,study,woman,money,
life,hand,result,study,,service,water,point,office,office
table,view,place,,field,level,person,name,,system
table,market,service,hand,school,question,country,water,,car
mother,,,hour,power,work,market,child,,
,health,study,hour,teacher,person,study,,family,school
,,,power,number,,,,person,paper
,result,girl,member,,result,law,table,person,business
game,,month,event,friend,work,table,,,
home,view,,right,government,field,city,number,road,home
line,family,place,government,paper,world,right,system,eye,teacher
area,line,power,paper,,view,result,,word,
month,family,moment,information,result,guy,,,word,story
study,eye,law,name,minute,house,,,business,fact
city,,information,,result,job,law,teacher,community,table
,form,result,power,door,,head,life,business,case
point,eye,result,,hour,month,end,house,room,issue
level,end,member,study,question,health,place,,world,market
child,health,,,group,case,part,information,member,music
,law,hand,head,health,paper,government,service,,issue
event,company,fact,,problem,water,point,case,air,reason
form,level,car,study,,member,friend,,air,part
,power,member,hand,moment,field,man,name,world,head
work,love,group,,kind,story,data,member,month,
,law,,view,business,way,school,reason,,rate
event,,thing,group,student,,child,head,music,case
,,,,point,fact,reason,way,line,
girl,,road,name,government,door,right,thing,minute,team
side,community,paper,book,person,point,food,,research,hand
girl,student,case,job,system,,home,food,home,service
,information,,city,home,,table,system,result,state
,product,government,game,,issue,information,issue,story,government
house,line,market,game,kind,night,,,level,car
face,home,problem,,head,friend,book,water,,place
way,woman,kind,,guy,state,door,event,law,information
form,family,state,minute,,result,woman,job,class,level
friend,field,,case,form,guy,view,,part,
table,week,result,city,group,,name,team,information,end
mother,door,mother,room,member,,time,member,,man
time,book,case,life,data,form,road,class,,
health,,group,problem,rate,home,member,eye,line,side
face,man,information,power,head,team,product,,time,community
number,student,health,game,word,information,,,,power
food,view,reason,country,music,hand,city,service,,community
eye,water,power,member,area,case,week,game,mother,woman
,book,name,problem,place,eye,market,information,job,program
class,part,person,hand,group,car,,state,,way
work,case,man,time,,home,eye,moment,view,
work,view,,mother,house,level,guy,form,system,guy
,,school,city,air,minute,school,team,information,data
hand,,person,person,class,data,,state,right,woman
house,,world,side,man,year,program,reason,information,girl
rate,,city,car,area,office,,person,rate,health
,line,person,,,guy,problem,government,week,friend
face,question,,eye,,place,girl,,food,group
name,car,law,water,member,,reason,air,service,paper
word,mother,world,case,level,,office,research,information,city
man,month,word,fact,way,power,group,research,minute,food
health,problem,group,,idea,home,table,group,,teacher
time,area,,level,market,work,guy,eye,air,view
teacher,level,line,system,business,end,minute,program,team,
job,government,,school,,,moment,idea,face,area
family,,event,system,system,,,research,guy,
,room,room,law,line,,kind,water,,hand
problem,law,night,water,moment,data,life,car,place,number
,air,eye,month,eye,case,place,life,problem,day
air,line,hand,name,hour,,student,event,number,
man,day,,road,idea,study,place,event,,
problem,,data,side,program,hour,state,minute,student,company
country,country,law,room,road,group,part,number,,hand
door,story,,air,,food,,,hand,city
work,book,product,food,,woman,idea,story,line,country
woman,family,school,,game,reason,city,guy,result,
water,head,food,class,,time,office,woman,line,kind
woman,teacher,,state,man,,,government,job,day
,reason,community,,world,power,city,field,side,information
teacher,,,life,class,,time,rate,,room
,reason,home,member,,name,thing,week,book,door
house,,,food,,student,reason,state,case,
state,number,right,person,child,health,door,view,,power
community,money,,water,,business,hand,,,
water,kind,friend,country,hand,teacher,,life,case,city
,girl,,mother,study,,woman,,child,paper
,car,power,case,office,member,state,word,point,
field,love,power,health,love,class,line,world,,area
power,data,fact,system,team,book,research,mother,,field
water,question,road,data,result,moment,money,problem,child,school
,health,,form,woman,,level,man,friend,law
thing,,place,water,,hour,eye,school,case,market
kind,view,face,idea,business,man,result,power,group,hour
home,city,hour,story,,,,,road,night
job,road,job,problem,law,data,minute,,field,home
issue,city,,road,money,,,product,year,table
table,child,name,,health,,hand,class,minute,
car,woman,kind,product,money,service,money,mother,moment,room
result,music,,,mother,right,,,,
service,,student,,,,issue,kind,team,hand
thing,student,level,hand,person,paper,city,fact,part,team
night,life,man,,head,program,,air,law,car
mother,head,music,teacher,issue,,case,group,,hour
life,program,,music,money,service,rate,,child,fact
fact,word,work,,line,money,side,,area,food
money,work,product,eye,,student,man,life,,
school,business,home,,community,love,reason,year,room,job
head,research,food,job,,event,,water,reason,country
right,community,teacher,,,idea,view,research,city,life
,,eye,room,part,face,,end,system,
head,teacher,,team,,area,research,teacher,side,love
study,book,,information,hand,work,view,guy,state,
person,week,idea,school,office,program,community,head,year,mother
word,job,hand,kind,group,world,time,work,eye,team
,health,school,system,government,home,day,rate,head,work
,,thing,service,water,power,research,time,issue,
moment,,right,money,,night,right,family,woman,
level,,,,part,level,night,moment,,air
business,road,life,student,right,class,,person,,money
law,eye,book,team,question,government,,health,person,hand
case,group,health,area,food,government,end,system,power,way
money,,point,case,kind,product,book,kind,,
kind,,case,music,water,,life,hour,class,group
,name,government,,point,field,eye,friend,right,
student,point,government,result,,work,market,class,,water
power,door,,face,fact,state,paper,field,study,
end,reason,city,result,government,book,book,program,research,house
,,child,,point,health,,,house,girl
system,kind,hour,family,car,,head,member,girl,government
family,hour,home,year,,moment,money,system,eye,girl
way,information,,air,word,road,kind,research,house,road
,life,product,family,water,form,home,house,,study
,area,life,area,family,person,girl,money,book,market
year,form,idea,data,minute,rate,face,research,system,view
line,minute,member,guy,,,way,,company,guy
case,,,power,,car,end,idea,time,face
,man,result,man,country,problem,story,life,woman,
office,,man,hand,paper,idea,eye,,moment,work
health,time,form,,field,,case,issue,question,music
law,reason,research,,city,rate,,line,room,house
,place,,country,level,part,money,story,area,
life,group,paper,job,research,market,problem,family,problem,family
view,city,game,kind,world,law,,child,school,product
week,study,product,,girl,time,level,person,,right
family,,person,view,,minute,paper,,point,school
night,hand,,part,paper,number,,point,event,law
thing,game,,eye,health,water,power,person,,
data,system,area,case,health,information,health,family,water,student
form,money,hand,,thing,school,study,eye,thing,
kind,life,week,book,child,face,work,game,rate,event
event,air,water,water,member,food,moment,day,field,office
event,teacher,word,business,world,question,door,idea,,class
teacher,kind,,country,love,,,state,school,area
city,community,,,day,,hour,,event,work
month,part,research,case,face,,man,door,teacher,hand
time,research,state,issue,rate,night,law,service,night,line
,group,issue,,world,,city,question,member,
data,,law,,face,family,end,mother,face,car
field,end,power,work,government,side,state,,community,person
case,level,life,night,hour,,head,student,area,rate
day,country,work,line,field,minute,hand,hand,reason,money
member,name,,business,,,law,study,country,hand
,school,,teacher,side,team,member,time,,hour
area,country,business,thing,girl,eye,job,head,job,
,right,night,,night,product,field,study,hand,program
view,,hand,group,,minute,door,,guy,
world,,year,music,,government,job,house,program,book
city,,story,government,,minute,product,,,system
girl,door,government,office,time,face,teacher,level,girl,level
area,program,,room,,,team,,child,end
country,day,government,work,,,eye,student,,field
work,world,market,,case,,mother,world,,
,,,love,class,area,house,level,kind,road
end,door,,market,,part,business,,story,thing
guy,part,issue,line,event,team,car,field,,event
child,love,form,problem,system,study,day,,book,government
reason,office,result,paper,,life,kind,member,rate,water
head,road,company,line,,money,level,state,,group
,hand,health,guy,research,head,word,money,company,country
money,power,market,form,,year,school,minute,power,guy
hour,,team,,,number,level,power,house,water
business,view,family,world,part,country,product,company,health,
product,game,,home,part,school,,team,girl,field
,year,form,water,line,area,friend,,,view
,member,,word,idea,table,problem,door,,rate
game,,music,member,rate,man,side,time,guy,door
,word,day,service,home,power,,country,place,minute
government,night,girl,class,hand,field,rate,life,,hour
book,teacher,part,point,name,,water,room,company,story
,hand,event,field,guy,group,guy,business,question,
,hand,side,,form,government,information,,woman,year
reason,,field,road,room,room,city,service,health,data
,month,water,company,form,,member,community,question,side
research,food,table,market,field,power,,,point,idea
form,problem,guy,form,program,,week,teacher,world,friend
,year,hand,field,man,right,member,woman,fact,night
place,issue,paper,right,,,day,world,hand,rate
moment,love,idea,,city,girl,,service,water,room
,event,door,student,,road,word,,class,
car,water,country,information,face,home,family,person,road,market
road,student,food,face,city,,result,school,,hour
idea,way,day,head,,research,question,area,room,result
table,hand,hand,,member,,area,case,night,money
water,child,,minute,office,road,,woman,,
minute,music,,year,side,family,place,,,mother
name,team,,man,data,program,,community,,market
field,road,office,road,government,country,level,place,name,person
money,,city,office,fact,health,community,room,number,level
government,,number,paper,view,,,teacher,right,car
man,form,girl,water,data,result,,information,result,head
way,hand,month,study,system,community,money,rate,hour,business
program,,office,woman,paper,issue,friend,business,life,
job,job,,,idea,,view,child,table,
line,day,form,eye,day,guy,area,water,food,hand
area,government,,,,book,,student,work,line
,air,,,story,night,,book,,
minute,,book,country,mother,day,door,right,question,time
teacher,,year,,issue,table,part,data,service,job
,end,child,,door,,time,question,member,book
form,market,law,power,,city,room,point,word,market
place,friend,kind,view,health,,,thing,company,night
room,line,country,view,school,question,group,,,child
area,level,teacher,company,,hand,government,week,job,money
product,,game,field,water,point,,number,,
kind,money,student,level,word,issue,music,product,music,member
student,team,,power,woman,community,level,room,,door
,market,company,,,work,,night,,water
room,road,hand,number,head,company,hand,system,product,government
,,guy,line,,,person,friend,,
,job,right,end,program,,country,person,food,
place,water,way,,year,,office,child,rate,person
book,week,part,month,friend,word,,girl,room,
hand,,room,child,,story,car,,money,food
,market,area,idea,point,place,food,form,story,form
,,market,data,state,family,love,,state,kind
family,road,study,world,word,way,number,child,,book
head,,,water,field,car,,,,eye
girl,minute,kind,,form,water,idea,,guy,year
market,name,table,child,,girl,job,water,product,music
right,information,family,result,water,month,system,table,,system
,level,hand,eye,food,paper,,food,view,group
,service,community,market,house,right,,,,home
man,case,man,country,end,idea,end,book,system,business
,student,food,member,head,state,head,,law,book
moment,area,,world,table,room,man,mother,student,
result,,woman,hand,,office,,home,book,health
car,level,law,field,word,,,government,view,water
line,eye,road,country,week,thing,,event,,world
event,month,minute,part,side,,program,state,,money
fact,power,,water,,system,girl,air,form,room
book,level,fact,,week,end,,story,system,data
music,city,man,money,community,form,table,line,,team
person,reason,hour,story,way,,house,time,,person
name,name,group,,eye,study,fact,,company,issue
,fact,level,love,right,side,member,area,hand,
team,result,home,end,hour,,school,problem,minute,month
,water,,hour,man,research,work,,,team
,minute,team,event,night,way,market,day,,girl
right,minute,,kind,,money,way,reason,paper,community
study,book,water,month,,eye,,research,time,place
book,money,state,money,air,teacher,minute,child,,issue
problem,result,water,minute,,person,government,question,country,idea
market,eye,field,fact,field,face,data,week,eye,name
,mother,mother,,,team,face,part,year,product
study,power,,guy,minute,eye,office,,work,health
class,teacher,country,service,business,teacher,food,problem,class,study
law,,information,level,form,month,,month,question,case
city,student,,question,form,,,part,state,program
air,city,child,member,field,car,child,friend,face,city
rate,class,paper,city,company,story,,rate,,
product,child,mother,research,,family,power,part,event,story
hour,side,table,,school,program,,program,rate,guy
road,world,view,time,end,food,case,,guy,view
air,car,kind,question,book,face,program,guy,child,word
part,mother,law,event,power,,,community,kind,mother
power,,year,study,result,student,line,room,friend,road
,law,air,paper,life,research,night,water,place,program
,reason,result,,story,,friend,program,government,information
air,,part,government,,,game,love,,service
air,school,system,result,work,school,problem,,thing,reason
class,,life,hour,member,market,hand,person,,car
,end,,,issue,day,result,,house,air
,program,road,world,product,family,country,research,head,guy
,service,book,,woman,right,question,product,data,
time,,family,family,hand,moment,love,issue,friend,
family,problem,house,road,world,water,name,,eye,woman
,,view,company,water,point,eye,level,view,music
hand,,system,team,study,girl,data,,,service
,result,day,,,,city,way,view,
level,question,thing,data,name,reason,office,time,level,point
information,field,,money,time,rate,child,,,member
country,night,product,minute,place,student,power,field,,job
company,door,,student,money,reason,idea,line,road,country
child,,reason,night,community,,,end,city,company
water,,issue,person,research,child,year,service,name,guy
road,,hand,moment,,,,,mother,
end,table,,country,issue,case,group,fact,right,
name,business,country,,,night,,door,,product
,home,food,event,,head,field,guy,side,guy
room,girl,,,love,community,child,program,love,family
question,hand,life,,air,girl,,study,,
health,,part,information,,time,job,,day,
face,name,line,,office,month,program,head,money,
day,child,room,,city,issue,,,road,eye
part,company,place,person,,teacher,,data,guy,company
reason,,team,government,form,city,,line,government,research
face,house,fact,car,side,view,country,product,moment,research
team,system,number,,,office,hand,,love,world
head,power,friend,team,thing,,level,office,research,hand
hand,head,line,door,man,,child,,point,
,night,minute,business,,friend,way,family,,market
month,student,work,rate,story,program,,music,month,life
part,name,market,student,reason,month,class,mother,reason,issue
,game,field,,,rate,minute,,place,program
mother,love,car,,,,,job,number,world
guy,system,office,service,room,money,field,office,air,health
friend,group,form,end,house,community,room,line,reason,case
love,year,face,,road,office,form,,story,student
hour,group,office,,air,form,work,fact,,study
,water,,research,time,country,program,point,moment,result
reason,,government,company,,company,,event,table,service
game,field,,idea,,place,fact,,thing,government
mother,life,,time,business,number,,table,love,
,,side,water,problem,area,team,kind,,place
issue,world,health,,service,person,product,,end,
,minute,air,part,side,word,book,office,month,issue
day,idea,man,student,day,state,end,guy,form,form
business,,question,room,,product,community,fact,time,
company,water,part,food,world,room,line,,way,life
eye,,man,table,school,,market,,business,product
,program,,word,fact,side,love,point,music,hour
,job,word,woman,end,data,home,law,,market
service,result,office,hand,area,,mother,world,air,group
team,,way,company,hour,man,fact,problem,life,field
family,team,product,way,head,right,moment,idea,student,right
law,side,fact,moment,woman,question,company,man,water,
teacher,,reason,air,place,,eye,issue,,table
issue,school,,question,,mother,minute,system,,office
information,issue,air,,number,night,data,rate,man,door
country,number,service,food,idea,money,table,right,,minute
level,,view,business,night,kind,thing,,reason,
love,,book,service,hand,part,student,hour,field,research
information,level,woman,,water,world,country,night,friend,mother
story,data,head,place,day,health,story,,thing,hand
,eye,community,,,girl,way,guy,table,place
table,family,friend,group,money,word,month,game,name,thing
child,love,fact,water,line,case,company,room,hand,home
,right,job,law,paper,place,,point,country,question
,,,minute,month,,power,team,word,level
family,city,side,field,,story,reason,car,home,area
,product,family,,office,study,eye,water,side,right
part,,program,name,,side,car,,view,game
side,law,end,data,government,word,moment,week,member,service
city,,,minute,business,,,result,work,
woman,girl,state,door,hand,number,level,program,word,
,,person,kind,rate,health,man,,book,area
class,,reason,idea,room,,food,house,minute,kind
community,game,business,line,,place,issue,,year,
,product,business,law,form,thing,year,,area,
line,moment,year,week,rate,,house,world,,part
person,member,family,result,hour,end,field,story,,system
country,group,,room,,law,market,,way,child
government,line,government,,music,friend,result,water,child,school
data,service,,side,door,field,man,,problem,group
side,,team,moment,music,group,view,market,product,number
issue,air,market,table,road,,program,water,student,music
level,,,state,line,minute,food,life,music,year
,product,,reason,reason,state,book,,door,girl
information,group,life,program,,water,,week,,issue
line,end,,idea,area,child,,,table,
group,right,level,eye,kind,door,office,team,information,power
road,,,point,mother,moment,,idea,,man
,teacher,,life,office,week,right,,paper,member
office,member,,research,event,music,,,market,day
school,money,head,fact,,idea,,life,minute,case
right,house,minute,business,man,issue,issue,,water,
place,place,part,community,school,health,service,health,child,life
thing,story,power,man,guy,,guy,moment,line,water
city,week,hand,,room,team,part,part,table,hand
problem,,word,fact,part,team,,,paper,case
love,student,,reason,work,team,hand,girl,view,
,room,form,home,view,,word,,system,information
rate,market,room,game,water,group,state,result,study,information
money,family,,reason,way,,,question,state,
minute,research,place,system,road,guy,time,paper,moment,
year,member,member,business,right,school,week,product,form,field
,music,fact,,side,table,right,water,water,
idea,part,,love,,music,number,game,house,
game,number,music,day,city,,game,idea,kind,
water,money,,company,fact,road,guy,rate,,story
,research,,health,room,class,,research,day,business
,air,home,year,,water,level,view,woman,moment
kind,,eye,paper,,side,power,,law,eye
food,,service,case,program,hand,health,country,class,reason
way,paper,result,member,school,,state,child,game,man
right,power,life,minute,water,group,system,moment,room,
case,,woman,business,face,group,system,woman,part,life
,class,,eye,guy,point,rate,family,minute,girl
head,health,issue,year,power,night,line,hand,,point
kind,face,community,year,child,product,road,mother,part,state
friend,,student,home,face,,,,,family
area,air,research,member,,minute,,business,person,problem
door,face,mother,game,research,product,,way,result,
night,level,problem,program,,,name,business,field,office
paper,,,way,,point,team,home,story,field
air,hand,time,hand,right,,table,,,
school,member,,office,world,level,year,family,,service
,friend,water,,,class,state,health,,
family,health,case,family,eye,line,,work,part,research
friend,book,,music,,,way,reason,work,view
level,day,company,story,way,service,guy,story,,community
right,,food,product,book,hour,water,door,side,mother
issue,story,office,name,door,paper,word,,,health
,air,case,paper,,,,life,guy,
right,,end,,,,friend,home,face,year
line,world,problem,result,,car,state,child,girl,hand
end,reason,form,level,,moment,road,table,issue,man
air,company,law,time,guy,face,story,event,music,house
,right,,music,country,,side,right,health,
reason,hand,,case,,company,month,research,fact,friend
minute,line,,food,,information,year,field,group,
water,,teacher,hand,state,result,system,,,
day,end,,,event,,health,,world,city
,,line,family,eye,school,right,area,,data
place,law,right,,idea,,,,,place
company,,family,music,question,area,,hour,face,system
mother,,number,product,kind,,power,night,,game
law,,head,work,,view,problem,research,question,problem
door,,system,result,,form,air,mother,,moment
city,world,,paper,,music,number,,service,member
group,country,home,research,product,water,room,rate,line,right
thing,kind,,,,,,market,paper,family
friend,child,book,right,health,love,man,point,face,government
city,problem,,girl,,,area,program,girl,month
,field,,room,moment,,room,service,member,rate
kind,right,student,,number,idea,,,end,system
question,power,,,,mother,minute,information,class,question
city,table,group,field,air,road,head,day,state,year
road,room,school,,state,field,end,kind,music,family
market,rate,job,city,member,line,week,table,,rate
,hand,case,,end,case,event,year,road,car
research,water,mother,product,,family,market,line,,reason
office,name,house,water,kind,night,game,line,world,room
friend,,kind,field,case,friend,family,company,,week
member,,air,,guy,reason,,fact,area,woman
hand,power,,office,information,,case,hand,service,result
table,person,product,,team,,field,music,,
student,form,,,,problem,point,minute,community,world
power,game,research,right,minute,money,city,life,event,market
,,night,hand,minute,idea,face,place,kind,group
number,room,job,research,,event,group,paper,event,number
government,game,house,family,state,problem,mother,,girl,rate
issue,form,part,place,road,,house,form,team,room
kind,case,team,week,guy,government,,man,idea,road
,mother,,friend,part,job,information,,man,idea
love,day,form,hand,,,,,,guy
team,day,market,,water,home,,money,face,
hand,,girl,business,student,system,road,night,man,table
,world,moment,,,word,night,data,moment,reason
community,table,class,community,,hand,person,person,guy,book
city,,,,,company,book,kind,table,
guy,,student,,government,car,guy,man,room,company
,eye,hand,paper,event,service,program,country,group,country
end,table,government,area,,,group,number,minute,
year,form,minute,,class,system,story,fact,city,year
minute,class,research,door,system,water,fact,teacher,night,
water,minute,night,,case,point,love,,,moment
girl,minute,job,home,job,side,month,hand,month,moment
company,business,eye,market,,team,money,,issue,level
,eye,,way,state,child,,,,power
side,hand,school,rate,case,,door,guy,health,thing
car,place,hand,mother,way,end,paper,man,office,fact
minute,minute,power,name,government,line,market,,event,case
rate,question,,city,reason,head,study,,health,head
system,fact,service,end,,minute,number,hand,moment,case
health,student,reason,,music,field,point,road,,health
number,law,school,end,hand,view,,,family,moment
minute,story,data,class,number,air,job,hour,road,road
woman,work,hour,class,,time,day,student,,teacher
community,,,thing,school,face,paper,kind,,
office,,product,number,,member,name,life,eye,home
state,guy,week,city,health,,hand,,,case
,,business,woman,end,girl,,health,business,mother
,research,teacher,woman,,,result,health,kind,week
hand,office,,idea,country,,group,question,way,game
point,group,head,book,,friend,teacher,class,point,woman
,community,view,level,head,office,story,place,event,time
line,story,way,kind,,food,member,friend,story,year
idea,side,company,field,hand,,,year,head,head
woman,family,school,information,kind,,study,woman,company,case
view,power,fact,,office,money,study,guy,family,company
thing,field,story,line,thing,group,level,product,group,rate
business,,life,name,,table,point,form,music,event
,reason,,hand,fact,fact,number,,man,level
,year,job,food,power,community,car,home,,part
road,business,paper,program,side,room,car,game,water,
research,music,,house,work,way,part,book,rate,
,,program,team,,child,event,city,city,room
level,,right,form,,table,data,home,,
,mother,air,,game,book,guy,year,,table
way,person,form,,day,company,company,,way,
company,road,,school,air,reason,job,,business,school
family,,service,guy,place,class,group,rate,story,hand
data,table,fact,level,information,night,thing,friend,problem,
moment,,question,love,hour,story,question,field,family,side
,time,water,table,community,product,,idea,market,side
girl,company,,part,research,love,hand,time,idea,
hand,,hand,point,team,child,child,girl,,day
end,friend,area,service,idea,table,kind,head,end,form
member,,level,child,question,idea,,family,,job
week,,,,student,,level,hour,,friend
right,book,face,,girl,mother,level,girl,,minute
view,research,issue,student,face,,paper,end,eye,
,data,state,view,book,,market,,company,
face,market,,student,company,night,man,,day,teacher
,line,,minute,table,home,right,side,work,number
,day,work,country,woman,person,guy,question,hour,
company,teacher,,,kind,business,,country,right,
home,day,data,,door,girl,issue,name,night,
kind,health,,,book,fact,story,group,road,job
idea,,,table,area,night,service,student,,kind
,program,road,view,class,word,face,guy,business,line
game,government,research,class,friend,area,company,music,week,paper
government,kind,name,man,area,question,,,kind,health
hand,line,face,,music,product,side,power,,man
,,teacher,,office,thing,,food,teacher,year
,place,reason,,team,story,road,music,game,mother
data,health,love,hand,,part,,man,girl,hour
,teacher,result,member,air,friend,,love,person,idea
door,door,thing,school,,,head,company,paper,room
thing,member,guy,reason,,part,water,class,place,form
woman,area,food,,result,school,health,,,reason
level,,love,teacher,reason,money,music,room,woman,
,teacher,side,fact,way,life,moment,minute,love,
student,study,person,head,,food,information,face,state,day
night,side,word,,,point,,night,power,guy
side,side,line,idea,field,food,team,data,,friend
day,money,room,community,,word,,,love,story
side,teacher,paper,person,,health,problem,level,,office
kind,hour,eye,hour,,food,child,,girl,area
week,,,school,hand,city,month,,water,data
government,,end,hand,,world,guy,,hand,office
woman,,car,,number,system,,power,point,kind
eye,water,form,day,business,power,service,case,idea,issue
minute,,moment,friend,place,door,city,program,love,water
,data,game,right,work,,member,table,work,product
,family,hand,month,face,place,food,level,month,eye
data,week,year,right,case,service,teacher,number,hand,
man,state,water,mother,event,car,story,day,house,month
,system,,guy,water,teacher,,office,,rate
,field,,business,minute,company,room,law,moment,city
problem,water,right,girl,,friend,,office,hand,house
hand,business,information,side,school,data,week,air,day,rate
,face,story,system,night,time,market,area,issue,
data,government,level,right,guy,,kind,hand,teacher,
market,year,work,table,city,view,moment,house,,
,information,member,result,,love,,time,,job
,,guy,,information,guy,,guy,,product
,group,result,rate,way,day,world,,service,
,part,law,woman,,place,book,,team,program
hand,health,field,,month,view,hour,,,law
,air,,,study,question,system,country,car,
right,table,world,,,week,music,,company,field
team,number,,minute,year,night,table,car,office,
team,friend,government,,mother,person,law,reason,moment,week
table,office,,world,product,,,person,number,right
fact,room,kind,name,moment,law,word,idea,house,
city,company,country,form,research,product,car,market,work,power
person,research,story,view,,eye,job,house,hand,head
member,guy,power,paper,life,,paper,,,line
result,family,day,face,side,work,,event,money,place
book,law,power,person,line,place,air,,field,
name,system,time,right,woman,line,,,room,group
case,moment,teacher,group,story,,night,point,money,
story,,paper,name,head,road,,company,water,kind
hand,,face,friend,water,,business,moment,teacher,
,way,teacher,school,country,,,book,community,area
,life,child,right,water,kind,result,word,girl,table
head,office,student,month,,,government,,guy,
paper,law,company,job,student,week,data,,member,job
class,room,point,reason,work,level,line,water,moment,mother
,,air,money,person,company,question,level,water,story
community,group,love,week,job,program,result,fact,question,child
,,market,room,,,product,time,,child
,home,point,,love,product,school,power,,service
music,end,,,game,office,air,student,,
place,face,road,moment,fact,time,hand,girl,way,
eye,member,product,question,,thing,,,fact,moment
level,,system,class,head,company,,,power,child
power,man,power,area,idea,information,work,year,teacher,
,company,office,hand,eye,road,hand,reason,community,result
teacher,house,case,house,,class,power,rate,child,
food,,word,,rate,,life,,information,
line,,,love,woman,love,issue,kind,health,world
word,,question,government,,head,study,work,office,
result,,number,service,child,service,work,month,,room
field,love,area,program,,,woman,market,room,
event,hour,minute,friend,house,,book,book,,money
week,eye,,,time,week,reason,moment,government,teacher
game,name,,,event,business,paper,idea,program,book
office,,,hand,research,state,food,kind,family,year
government,service,face,health,thing,government,room,car,air,market
month,group,,student,question,job,music,air,group,person
life,group,point,month,,government,car,study,,area
world,,hour,teacher,,city,,face,company,game
money,music,person,work,company,,night,,business,question
state,girl,year,life,child,home,fact,eye,event,
view,,data,point,road,problem,,,program,
story,fact,,,job,reason,point,government,man,level
,room,friend,guy,field,,,job,,
night,school,data,name,,case,table,right,music,person
year,,case,community,study,week,eye,,result,year
level,line,,book,school,community,,year,community,data
moment,office,,,,teacher,,thing,man,way
,country,health,,law,hour,food,result,,kind
country,student,view,job,place,water,research,information,family,student
food,name,,study,group,,,system,paper,part
table,level,fact,love,hour,view,class,night,point,problem
job,side,story,,member,money,home,rate,program,day
world,study,love,way,program,story,problem,eye,city,life
job,hand,car,teacher,event,company,rate,office,,book
money,data,teacher,,state,system,word,level,,
system,,road,case,,,case,,research,question
month,,day,hour,line,,face,,team,system
area,,,,,table,kind,week,minute,place
person,night,result,,information,state,country,market,member,
woman,class,problem,kind,,,,,book,eye
money,book,field,food,air,,place,class,team,question
question,night,guy,,issue,woman,community,table,,music
game,house,money,power,health,hand,person,house,way,field
room,home,idea,,water,,,night,field,
head,thing,game,,study,hour,time,government,mother,
road,level,home,face,fact,door,,,house,car
market,part,house,word,class,part,,,,
friend,food,girl,office,teacher,,rate,game,idea,problem
government,state,field,week,team,,research,school,work,
,view,city,event,hand,field,power,teacher,water,
class,result,guy,mother,state,world,group,country,school,money
word,,hand,job,right,word,team,,room,member
number,night,,question,person,,water,result,rate,
law,friend,data,woman,market,,head,friend,money,study
love,data,girl,number,number,part,guy,girl,name,office
air,product,home,water,rate,money,thing,company,,paper
group,fact,man,end,research,,team,case,,
moment,month,,,right,,game,thing,member,research
,home,part,,problem,place,,office,girl,book
,field,story,,side,fact,name,,country,
part,,child,company,point,number,city,question,program,question
market,life,state,hour,road,,,table,question,hand
state,head,game,company,food,part,,woman,field,
group,man,level,,community,music,area,hour,man,question
game,,name,,student,love,idea,child,person,table
country,reason,air,,house,game,number,level,fact,room
office,story,study,,data,girl,,point,question,reason
form,part,side,eye,view,room,game,state,,car
work,side,life,person,,market,car,state,work,end
side,business,event,water,teacher,power,point,research,,issue
house,reason,number,service,part,,moment,,area,business
book,power,side,side,reason,group,data,air,paper,question
mother,,power,number,system,,year,student,water,
,word,paper,school,state,world,guy,room,word,month
music,state,view,law,hour,car,,hand,air,book
hand,,level,,,story,face,kind,system,year
way,research,company,guy,story,hand,word,end,case,problem
law,form,power,member,life,information,place,level,,water
time,minute,girl,table,book,form,hand,child,home,eye
,paper,number,field,minute,class,world,table,money,
life,word,job,guy,number,law,,state,student,member
book,state,,,,office,,night,,city
form,,law,rate,research,work,money,rate,level,area
rate,,part,problem,,point,,,book,case
life,world,case,teacher,fact,service,,night,,
idea,world,,issue,information,state,number,night,number,love
information,,,home,company,,,event,,room
research,,,moment,view,guy,,information,view,
,,,,end,side,,,head,year
point,world,car,,room,friend,thing,hour,school,
form,power,hour,problem,side,,program,child,game,information
point,fact,,hour,year,,event,woman,level,
moment,air,man,air,money,line,,name,woman,problem
question,reason,problem,,room,,office,hour,market,water
,,way,case,class,kind,face,water,form,
time,hand,data,door,number,hour,mother,air,issue,school
work,money,,game,,head,line,state,group,
,eye,member,case,,girl,,week,home,product
week,,eye,,life,,school,minute,product,head
moment,,work,hand,book,system,,thing,,event
class,day,table,country,member,issue,state,table,child,month
book,game,door,way,book,time,team,,team,money
money,,,room,number,way,,world,system,car
line,,kind,water,study,level,love,,word,
man,class,state,,,eye,food,,area,
,house,room,life,,mother,air,,program,eye
country,,child,food,year,business,data,car,,
,,,rate,event,day,book,face,,country
power,road,,name,,home,house,mother,result,hand
,,mother,side,way,house,,form,product,idea
community,business,rate,,,face,hand,level,form,program
fact,class,view,student,way,hand,road,,hand,fact
